Calling Number,Called Number,Date,Time,Duration,Call Type,Direction,IMEI,IMSI,Cell ID,LAC,Latitude,Longitude,Tower Address,Provider,Roaming
9876500001,9876500002,12-07-2026,10:30:15,120,Call,Outgoing,356789012345678,404450123456789,CELL-101,LAC-01,28.6139,77.2090,Connaught Place Delhi,Demo Telecom,No
9876500003,9876500001,12-07-2026,11:20:10,0,Call,Incoming,352222012345678,404450987654321,CELL-102,LAC-01,28.6200,77.2100,Central Delhi,Demo Telecom,No
9876500001,9876500004,12-07-2026,13:05:25,45,SMS,Outgoing,356789012345678,404450123456789,CELL-103,LAC-02,28.6300,77.2200,East Delhi,Demo Telecom,No
9876500002,9876500001,13-07-2026,09:10:30,300,Call,Outgoing,351111012345678,404450555555555,CELL-101,LAC-01,28.6139,77.2090,Connaught Place Delhi,Demo Telecom,No
9876500001,9876500005,13-07-2026,23:45:00,15,Call,Outgoing,356789012345678,404450123456789,CELL-104,LAC-03,28.6500,77.2300,North Delhi,Demo Telecom,No
9876500002,9999900001,14-07-2026,09:00:00,60,Call,Outgoing,351111012345678,404450555555555,CELL-105,LAC-04,28.6600,77.2400,West Delhi,Demo Telecom,No
9876500003,9999900001,14-07-2026,09:10:00,90,Call,Outgoing,352222012345678,404450987654321,CELL-105,LAC-04,28.6600,77.2400,West Delhi,Demo Telecom,No
9876500001,9999900001,14-07-2026,09:20:00,40,Call,Outgoing,356789012345678,404450123456789,CELL-105,LAC-04,28.6600,77.2400,West Delhi,Demo Telecom,No
9876500001,9876500006,14-07-2026,10:00:00,100,Call,Outgoing,355555012345678,404450123456789,CELL-106,LAC-04,28.6700,77.2500,South Delhi,Demo Telecom,No
9876500001,9876500007,14-07-2026,10:30:00,80,Call,Outgoing,355555012345678,404450123456789,CELL-107,LAC-04,28.6800,77.2600,South Delhi,Demo Telecom,No
9876500008,9876500009,14-07-2026,11:00:00,50,Call,Outgoing,355555012345678,404450777777777,CELL-108,LAC-05,28.6900,77.2700,Outer Delhi,Demo Telecom,No
9876500008,9876500010,14-07-2026,11:30:00,70,Call,Outgoing,355555012345678,404450777777777,CELL-108,LAC-05,28.6900,77.2700,Outer Delhi,Demo Telecom,No
9876500001,9876500002,14-07-2026,12:55:00,30,Call,Outgoing,355555012345678,404450123456789,CELL-109,LAC-05,28.7000,77.2800,Incident Area,Demo Telecom,No
9876500003,9876500001,14-07-2026,13:02:00,20,Call,Outgoing,352222012345678,404450987654321,CELL-109,LAC-05,28.7000,77.2800,Incident Area,Demo Telecom,No
9876500001,9999900001,14-07-2026,13:10:00,10,SMS,Outgoing,355555012345678,404450123456789,CELL-110,LAC-05,28.7100,77.2900,Near Incident Area,Demo Telecom,No
