PAN_NO,TARGET_NO,CALL_TYPE,TOC,B_PARTY,LRN_NO,LRN_TSP,CALL_TIME,DURATION,FIRST_CGI,FIRST_LAT,FIRST_LON,LAST_CGI,LAST_LAT,LAST_LON,SMSC_NO,IMEI,IMSI,CALL_FWD,ROAM_NO,SW4MSCID,IN_TG,OUT_TG
PAN100138,9123456780,SMS-MO,SMS,9312850944,5981470996,BSNL,2026-07-01 09:28:25,0,CGI03871,26.52643,80.94927,CGI03312,26.52331,80.75797,9139516346,908277181298266,404455702793714,,HOME,MSC3686,TG835,TG850
PAN100161,9812345678,MO,VOICE,9547605561,9030271345,VI,2026-07-01 11:07:54,2843,CGI01892,26.56808,80.75362,CGI01892,26.56808,80.75362,9129508245,492929831687397,404457406335693,,HOME,MSC3440,TG687,TG105
PAN100051,9812345678,SMS-MT,SMS,9971299001,9396385773,BSNL,2026-07-01 11:45:05,0,CGI01037,26.92794,80.77018,CGI01892,26.56808,80.75362,9128720823,384842199330833,404450165712082,,HOME,MSC8793,TG588,TG766
PAN100039,9123456780,SMS-MT,SMS,9265192771,4964386641,VI,2026-07-01 12:23:15,0,CGI04960,26.6099,80.9001,CGI01037,26.92794,80.77018,9113298711,522047277901043,404452898614341,,HOME,MSC7878,TG754,TG912
PAN100079,9876500001,SMS-MO,SMS,9547605561,9647920261,BSNL,2026-07-01 13:08:15,0,CGI03871,26.52643,80.94927,CGI03871,26.52643,80.94927,9194049798,557431329121277,404455618537474,,ROAM,MSC2481,TG261,TG926
PAN100162,9123456780,SMS-MO,SMS,9594033331,5943220876,AIRTEL,2026-07-01 13:25:30,0,CGI03829,26.67931,80.92225,CGI02366,27.0646,81.22073,9111152355,806325431074279,404459077262570,,ROAM,MSC2158,TG494,TG807
PAN100160,9387416172,SMS-MO,SMS,9773314235,6490057858,BSNL,2026-07-01 14:07:04,0,CGI01583,26.51681,81.13911,CGI03871,26.52643,80.94927,9126675960,531531363631797,404450623972652,,HOME,MSC4181,TG747,TG467
PAN100158,9876500001,MT,VOICE,9999210533,7253652858,AIRTEL,2026-07-01 15:21:04,881,CGI03957,26.66549,80.98712,CGI03957,26.66549,80.98712,9193455238,582739021962071,404450021946723,,HOME,MSC8379,TG521,TG344
PAN100026,9387416172,SMS-MT,SMS,9525001304,7200490039,VI,2026-07-01 15:43:49,0,CGI00115,26.7565,80.8092,CGI03829,26.67931,80.92225,9130885967,953394210470952,404451456232858,,HOME,MSC5465,TG950,TG268
PAN100150,9123456780,MO,VOICE,9558888544,5576124271,JIO,2026-07-01 15:54:46,1747,CGI01583,26.51681,81.13911,CGI03779,26.5353,80.60778,9176255745,751971284781891,404453718949058,,HOME,MSC9399,TG580,TG687
PAN100040,9123456780,MT,VOICE,9558888544,5843567009,VI,2026-07-01 16:36:15,2055,CGI02366,27.0646,81.22073,CGI02366,27.0646,81.22073,9132287985,962185188888067,404450654051531,,ROAM,MSC6447,TG236,TG145
PAN100032,9812345678,SMS-MT,SMS,9255601111,4774881143,VI,2026-07-01 16:42:53,0,CGI02366,27.0646,81.22073,CGI02366,27.0646,81.22073,9145610493,502296120183667,404455254599102,,HOME,MSC1815,TG790,TG183
PAN100135,9812345678,MO,VOICE,9525001304,8076423980,AIRTEL,2026-07-01 16:56:24,2061,CGI00308,26.69558,80.66654,CGI03307,27.24171,80.50877,9120361927,562168936392649,404455782329832,,ROAM,MSC9582,TG238,TG540
PAN100050,9123456780,MT,VOICE,9255601111,6844242456,BSNL,2026-07-01 17:33:13,1939,CGI04991,27.27628,80.77472,CGI04991,27.27628,80.77472,9142111160,278585497334843,404454437575844,,ROAM,MSC7220,TG504,TG938
PAN100133,9123456780,MO,VOICE,9497049127,6676546979,BSNL,2026-07-01 18:10:22,1321,CGI02175,27.16339,80.6399,CGI03599,26.95021,80.77524,9106023362,335211039240514,404457705383388,,HOME,MSC3315,TG811,TG815
PAN100060,9387416172,SMS-MO,SMS,9841300022,7037270171,JIO,2026-07-01 18:26:08,0,CGI00308,26.69558,80.66654,CGI00115,26.7565,80.8092,9129356057,875099770088600,404458484086211,,HOME,MSC4948,TG296,TG734
PAN100144,9812345678,MO,VOICE,9497049127,7431787433,AIRTEL,2026-07-01 18:58:05,467,CGI01892,26.56808,80.75362,CGI01892,26.56808,80.75362,9125529779,578452182307681,404450409157018,,ROAM,MSC1368,TG691,TG876
PAN100045,9876500001,SMS-MO,SMS,9947003778,9680784645,AIRTEL,2026-07-01 19:33:09,0,CGI03871,26.52643,80.94927,CGI03871,26.52643,80.94927,9146442431,841438424981829,404459229959001,,HOME,MSC5336,TG766,TG315
PAN100052,9876500001,SMS-MO,SMS,9971299001,8455162035,AIRTEL,2026-07-01 20:05:41,0,CGI00512,27.1733,80.80027,CGI00512,27.1733,80.80027,9156087572,206724004991547,404458872874315,,HOME,MSC8518,TG763,TG363
PAN100082,9123456780,MT,VOICE,9914019912,7356238229,VI,2026-07-01 23:50:45,2161,CGI01037,26.92794,80.77018,CGI01037,26.92794,80.77018,9175920407,856420593040785,404459321334803,,ROAM,MSC7363,TG463,TG959
PAN100063,9123456780,MT,VOICE,9914019912,7176795294,VI,2026-07-02 07:09:24,3276,CGI02366,27.0646,81.22073,CGI03599,26.95021,80.77524,9148412365,110475412126788,404458610158199,,ROAM,MSC1202,TG398,TG523
PAN100006,9123456780,MO,VOICE,9560964462,8527630758,JIO,2026-07-02 07:27:22,1675,CGI04469,27.08106,80.67999,CGI04469,27.08106,80.67999,9108135295,651333872624731,404457810801326,,HOME,MSC7570,TG160,TG268
PAN100020,9876500001,MO,VOICE,9895986331,5250949136,AIRTEL,2026-07-02 09:26:28,990,CGI02366,27.0646,81.22073,CGI02366,27.0646,81.22073,9138668783,471349361832421,404450249947174,,ROAM,MSC9199,TG652,TG605
PAN100035,9876500001,MO,VOICE,9999210533,6488796494,VI,2026-07-02 09:49:40,634,CGI02795,26.94363,80.60677,CGI02795,26.94363,80.60677,9184183695,527177449058147,404457005411998,,HOME,MSC1672,TG560,TG929
PAN100108,9123456780,SMS-MO,SMS,9777191992,5420993922,AIRTEL,2026-07-02 10:12:46,0,CGI00512,27.1733,80.80027,CGI00512,27.1733,80.80027,9190099765,314913577594929,404459556205336,,HOME,MSC6889,TG237,TG795
PAN100132,9876500001,MT,VOICE,9820072695,5443831341,BSNL,2026-07-02 10:18:50,1617,CGI04960,26.6099,80.9001,CGI04960,26.6099,80.9001,9176697457,86416862278376,404459389833146,,ROAM,MSC2467,TG215,TG787
