PAN_NO,TARGET_NO,CALL_TYPE,TOC,B_PARTY,LRN_NO,LRN_TSP,CALL_TIME,DURATION,FIRST_CGI,FIRST_LAT,FIRST_LON,LAST_CGI,LAST_LAT,LAST_LON,SMSC_NO,IMEI,IMSI,CALL_FWD,ROAM_NO,SW4MSCID,IN_TG,OUT_TG
PAN500001,9170000002,MO,VOICE,9300000001,5500000001,VI,2026-10-10 00:10:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919820051914,356000000000102,404450000000102,,HOME,MSC3303,TG103,TG120
PAN500441,9170000005,MT,VOICE,9170000001,5570000001,BSNL,2026-10-10 00:10:00,70,CGI80011,27.00410,75.77940,CGI80011,27.00410,75.77940,919440051914,356000000000105,404450000000105,9876500005,DELHI,MSC2202,TG120,TG106
PAN500002,9170000002,MO,VOICE,9300000002,5500000002,VI,2026-10-10 00:21:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919820051914,356000000000102,404450000000102,,HOME,MSC4404,TG119,TG111
PAN500003,9170000002,MO,VOICE,9300000003,5500000003,JIO,2026-10-10 00:32:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919890051914,356000000000102,404450000000102,,HOME,MSC4404,TG101,TG113
PAN500442,9170000005,MT,VOICE,9170000002,5570000002,AIRTEL,2026-10-10 00:42:00,71,CGI80012,26.81230,75.73550,CGI80012,26.81230,75.73550,919810051914,356000000000105,404450000000105,9876500005,MUMBAI,MSC3303,TG111,TG111
PAN500004,9170000002,MO,VOICE,9300000004,5500000004,AIRTEL,2026-10-10 00:43:00,0,CGI80004,26.95670,75.74210,CGI80004,26.95670,75.74210,919810051914,356000000000102,404450000000102,,HOME,MSC3303,TG106,TG111
PAN500005,9170000002,MO,VOICE,9300000005,5500000005,JIO,2026-10-10 00:54:00,0,CGI80001,26.91240,75.78730,CGI80001,26.91240,75.78730,919890051914,356000000000102,404450000000102,,HOME,MSC2202,TG108,TG108
PAN500006,9170000002,MO,VOICE,9300000006,5500000006,BSNL,2026-10-10 01:05:00,0,CGI80002,26.93510,75.80120,CGI80002,26.93510,75.80120,919440051914,356000000000102,404450000000102,,HOME,MSC4404,TG111,TG102
PAN500443,9170000005,MT,VOICE,9170000003,5570000003,AIRTEL,2026-10-10 01:14:00,72,CGI80013,26.94740,75.87310,CGI80013,26.94740,75.87310,919810051914,356000000000105,404450000000105,9876500005,UP-EAST,MSC1101,TG111,TG117
PAN500007,9170000002,MO,VOICE,9300000007,5500000007,JIO,2026-10-10 01:16:00,0,CGI80003,26.88450,75.81270,CGI80003,26.88450,75.81270,919890051914,356000000000102,404450000000102,,HOME,MSC1101,TG102,TG107
